team,league,gf,ga,sot,corners,win,draw,hwn,awn,last_date,n_games
A. Klagenfurt,AUT,0.0,1.0,4.5,5.0,0.0,0.0,0.0,0.0,2025-05-23,1
AC Oulu,FIN,1.2,0.4,4.5,5.0,0.8,0.2,1.0,0.5,2026-06-18,5
AEK,G1,1.4,0.6,4.8,6.0,0.4,0.6,0.667,0.0,2026-05-17,5
AFC Wimbledon,E2,0.4,2.0,2.6,4.4,0.2,0.0,0.0,0.5,2026-05-02,5
AIK,SWE,1.2,2.0,4.5,5.0,0.2,0.4,0.0,0.333,2026-05-30,5
AVS,P1,1.6,1.0,4.75,5.25,0.4,0.6,0.5,0.333,2026-05-16,5
AZ Alkmaar,N1,1.8,1.2,6.2,6.0,0.2,0.8,0.333,0.0,2026-05-17,5
Aalborg,DEN,1.0,3.0,4.5,5.0,0.0,0.0,0.08,0.0,2025-05-24,1
Aalesund,NOR,1.6,1.4,4.5,5.0,0.4,0.4,0.5,0.333,2026-05-29,5
Aarhus,DEN,2.2,0.8,4.5,5.0,0.6,0.4,0.667,0.5,2026-05-17,5
Aberdeen,SC0,1.4,1.4,2.8,4.4,0.4,0.2,0.667,0.0,2026-05-17,5
Accrington,E3,1.4,2.4,3.8,4.0,0.0,0.4,0.0,0.0,2026-05-02,5
Airdrie Utd,SC1,1.4,2.0,4.0,5.2,0.2,0.6,0.333,0.0,2026-05-01,5
Ajax,N1,1.6,0.8,5.6,4.6,0.4,0.4,0.0,0.667,2026-05-17,5
Akhmat Grozny,RUS,1.0,1.0,4.5,5.0,0.2,0.6,0.333,0.0,2026-05-17,5
Akron Togliatti,RUS,0.8,1.8,4.5,5.0,0.2,0.2,0.0,0.5,2026-05-17,5
Alanyaspor,T1,1.2,1.4,4.6,5.2,0.2,0.2,0.5,0.0,2026-05-16,5
Alaves,SP1,1.2,1.4,4.6,5.0,0.4,0.2,0.333,0.5,2026-05-23,5
Albacete,SP2,1.6,0.8,5.0,4.4,0.8,0.0,1.0,0.667,2026-05-30,5
Albirex Niigata,JAP,1.2,2.4,4.5,5.0,0.0,0.4,0.0,0.0,2025-12-06,5
